GEO_ID,Name,Population,Margin_Of_Error
1500000US060855029103,Block Group 3; Census Tract 5029.10; Santa Clara County; California,881,289
1500000US060855029104,Block Group 4; Census Tract 5029.10; Santa Clara County; California,903,240
1500000US060855030011,Block Group 1; Census Tract 5030.01; Santa Clara County; California,1227,310
1500000US060855030012,Block Group 2; Census Tract 5030.01; Santa Clara County; California,813,201
1500000US060855030013,Block Group 3; Census Tract 5030.01; Santa Clara County; California,2269,425
1500000US060855030021,Block Group 1; Census Tract 5030.02; Santa Clara County; California,1453,767
1500000US060855030022,Block Group 2; Census Tract 5030.02; Santa Clara County; California,2216,364
1500000US060855030031,Block Group 1; Census Tract 5030.03; Santa Clara County; California,1584,309
1500000US060855030032,Block Group 2; Census Tract 5030.03; Santa Clara County; California,1951,452
1500000US060855030033,Block Group 3; Census Tract 5030.03; Santa Clara County; California,1536,288
1500000US060855031051,Block Group 1; Census Tract 5031.05; Santa Clara County; California,2028,236
1500000US060855031101,Block Group 1; Census Tract 5031.10; Santa Clara County; California,2121,485
1500000US060855031102,Block Group 2; Census Tract 5031.10; Santa Clara County; California,894,353
1500000US060855031103,Block Group 3; Census Tract 5031.10; Santa Clara County; California,900,409
1500000US060855031111,Block Group 1; Census Tract 5031.11; Santa Clara County; California,1303,649
1500000US060855031112,Block Group 2; Census Tract 5031.11; Santa Clara County; California,1188,616
1500000US060855031113,Block Group 3; Census Tract 5031.11; Santa Clara County; California,2720,816
1500000US060855031121,Block Group 1; Census Tract 5031.12; Santa Clara County; California,1340,305
1500000US060855031122,Block Group 2; Census Tract 5031.12; Santa Clara County; California,959,387
1500000US060855031123,Block Group 3; Census Tract 5031.12; Santa Clara County; California,1770,307
1500000US060855031131,Block Group 1; Census Tract 5031.13; Santa Clara County; California,2723,614
1500000US060855031132,Block Group 2; Census Tract 5031.13; Santa Clara County; California,1617,515
1500000US060855031161,Block Group 1; Census Tract 5031.16; Santa Clara County; California,2802,519
1500000US060855031162,Block Group 2; Census Tract 5031.16; Santa Clara County; California,2099,611
1500000US060855031163,Block Group 3; Census Tract 5031.16; Santa Clara County; California,1696,563
1500000US060855031171,Block Group 1; Census Tract 5031.17; Santa Clara County; California,1226,289
1500000US060855031172,Block Group 2; Census Tract 5031.17; Santa Clara County; California,1544,530
1500000US060855031181,Block Group 1; Census Tract 5031.18; Santa Clara County; California,826,264
1500000US060855031182,Block Group 2; Census Tract 5031.18; Santa Clara County; California,1824,845
1500000US060855031183,Block Group 3; Census Tract 5031.18; Santa Clara County; California,2095,528
1500000US060855031211,Block Group 1; Census Tract 5031.21; Santa Clara County; California,1057,349
1500000US060855031212,Block Group 2; Census Tract 5031.21; Santa Clara County; California,2457,635
1500000US060855031213,Block Group 3; Census Tract 5031.21; Santa Clara County; California,1323,600
1500000US060855031221,Block Group 1; Census Tract 5031.22; Santa Clara County; California,2184,342
1500000US060855031222,Block Group 2; Census Tract 5031.22; Santa Clara County; California,1165,462
1500000US060855031231,Block Group 1; Census Tract 5031.23; Santa Clara County; California,1800,401
1500000US060855031232,Block Group 2; Census Tract 5031.23; Santa Clara County; California,2135,498
1500000US060855031241,Block Group 1; Census Tract 5031.24; Santa Clara County; California,2498,670
1500000US060855031242,Block Group 2; Census Tract 5031.24; Santa Clara County; California,1632,721
1500000US060855031243,Block Group 3; Census Tract 5031.24; Santa Clara County; California,1462,761
1500000US060855031251,Block Group 1; Census Tract 5031.25; Santa Clara County; California,2459,824
1500000US060855031252,Block Group 2; Census Tract 5031.25; Santa Clara County; California,1365,336
1500000US060855031261,Block Group 1; Census Tract 5031.26; Santa Clara County; California,4100,914
1500000US060855031271,Block Group 1; Census Tract 5031.27; Santa Clara County; California,1826,430
1500000US060855031272,Block Group 2; Census Tract 5031.27; Santa Clara County; California,3232,641
1500000US060855032071,Block Group 1; Census Tract 5032.07; Santa Clara County; California,1882,385
1500000US060855032072,Block Group 2; Census Tract 5032.07; Santa Clara County; California,1585,333
1500000US060855032081,Block Group 1; Census Tract 5032.08; Santa Clara County; California,1565,361
1500000US060855032082,Block Group 2; Census Tract 5032.08; Santa Clara County; California,1416,351
1500000US060855032101,Block Group 1; Census Tract 5032.10; Santa Clara County; California,2733,674
1500000US060855032102,Block Group 2; Census Tract 5032.10; Santa Clara County; California,1398,415
1500000US060855032111,Block Group 1; Census Tract 5032.11; Santa Clara County; California,2579,768
1500000US060855032112,Block Group 2; Census Tract 5032.11; Santa Clara County; California,1762,415
1500000US060855032121,Block Group 1; Census Tract 5032.12; Santa Clara County; California,1612,396
1500000US060855032122,Block Group 2; Census Tract 5032.12; Santa Clara County; California,1043,304
1500000US060855032123,Block Group 3; Census Tract 5032.12; Santa Clara County; California,1419,534
1500000US060855032131,Block Group 1; Census Tract 5032.13; Santa Clara County; California,2328,946
1500000US060855032132,Block Group 2; Census Tract 5032.13; Santa Clara County; California,2834,757
1500000US060855032171,Block Group 1; Census Tract 5032.17; Santa Clara County; California,1926,661
1500000US060855032172,Block Group 2; Census Tract 5032.17; Santa Clara County; California,630,304
1500000US060855032173,Block Group 3; Census Tract 5032.17; Santa Clara County; California,1444,447
1500000US060855032181,Block Group 1; Census Tract 5032.18; Santa Clara County; California,1756,652
1500000US060855032182,Block Group 2; Census Tract 5032.18; Santa Clara County; California,1443,302
1500000US060855032183,Block Group 3; Census Tract 5032.18; Santa Clara County; California,1388,487
1500000US060855032191,Block Group 1; Census Tract 5032.19; Santa Clara County; California,1052,337
1500000US060855032192,Block Group 2; Census Tract 5032.19; Santa Clara County; California,1731,652
1500000US060855032201,Block Group 1; Census Tract 5032.20; Santa Clara County; California,2046,529
1500000US060855032202,Block Group 2; Census Tract 5032.20; Santa Clara County; California,1840,585
1500000US060855032203,Block Group 3; Census Tract 5032.20; Santa Clara County; California,792,333
1500000US060855032211,Block Group 1; Census Tract 5032.21; Santa Clara County; California,823,217
1500000US060855032212,Block Group 2; Census Tract 5032.21; Santa Clara County; California,1788,308
1500000US060855032221,Block Group 1; Census Tract 5032.22; Santa Clara County; California,3096,1016
1500000US060855032222,Block Group 2; Census Tract 5032.22; Santa Clara County; California,2610,874
1500000US060855033041,Block Group 1; Census Tract 5033.04; Santa Clara County; California,1988,418
1500000US060855033042,Block Group 2; Census Tract 5033.04; Santa Clara County; California,2782,1274
1500000US060855033043,Block Group 3; Census Tract 5033.04; Santa Clara County; California,1430,492
1500000US060855033044,Block Group 4; Census Tract 5033.04; Santa Clara County; California,535,176
1500000US060855033051,Block Group 1; Census Tract 5033.05; Santa Clara County; California,1123,387
1500000US060855033052,Block Group 2; Census Tract 5033.05; Santa Clara County; California,2584,647
1500000US060855033053,Block Group 3; Census Tract 5033.05; Santa Clara County; California,2052,539
1500000US060855033061,Block Group 1; Census Tract 5033.06; Santa Clara County; California,1254,346
1500000US060855033062,Block Group 2; Census Tract 5033.06; Santa Clara County; California,1645,308
1500000US060855033063,Block Group 3; Census Tract 5033.06; Santa Clara County; California,1106,511
