Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 2; Census Tract 5057; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,86,1,1,,,259.833,7603.436
Block Group 3; Census Tract 5057; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,87,1,1,,,244.833,6099.606
Block Group 1; Census Tract 5069; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,88,1,1,,,154.667,15107.453
Block Group 4; Census Tract 5075; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,89,1,1,,,259.833,17260.01
Block Group 4; Census Tract 5057; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,90,1,1,,,244.833,6942.789
Block Group 1; Census Tract 5058; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,91,1,1,,,244.833,6167.597
Block Group 2; Census Tract 5058; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,92,1,1,,,244.833,7154.046
Block Group 2; Census Tract 5069; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,93,1,1,,,154.667,14829.972
Block Group 3; Census Tract 5076; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,94,1,1,,,289.833,19707.452
Block Group 1; Census Tract 5077.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,95,1,1,,,319.833,19590.673
Block Group 2; Census Tract 5077.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,96,1,1,,,319.833,19592.42
Block Group 3; Census Tract 5077.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,97,1,1,,,319.833,17908.873
Block Group 3; Census Tract 5058; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,98,1,1,,,244.833,7089.551
Block Group 4; Census Tract 5058; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,99,1,1,,,244.833,6991.086
Block Group 1; Census Tract 5060; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,100,1,1,,,259.833,8217.637
Block Group 1; Census Tract 5077.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,101,1,1,,,319.833,18931.97
Block Group 2; Census Tract 5077.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,102,1,1,,,334.833,19563.46
Block Group 2; Census Tract 5054.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,103,1,1,,,319.833,12342.02
Block Group 3; Census Tract 5054.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,104,1,1,,,304.833,11798.85
Block Group 1; Census Tract 5054.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,105,1,1,,,289.833,10010.241
Block Group 2; Census Tract 5060; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,106,1,1,,,274.833,8737.596
Block Group 3; Census Tract 5060; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,107,1,1,,,274.833,9248.9
Block Group 4; Census Tract 5060; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,108,1,1,,,274.833,9102.82
Block Group 1; Census Tract 5061.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,109,1,1,,,274.833,10581.064
Block Group 2; Census Tract 5061.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,110,1,1,,,289.833,11330.91
